angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.0,,,"(821, 371, 389, 389)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(821, 371, 389, 389)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.22,0.09,"(838, 395, 367, 367)","(987, 675, 145, 145)","(1557, 466, 88, 88)",0.0,0.0,0.0,0.0,0.08,0.33,1.0,0.27,0.02,0.0,0.06,0.28,0.0,0.34,0.24,0.0,0.02,0.04
0.0,0.23,0.09,"(838, 395, 367, 367)","(987, 675, 145, 145)","(1557, 466, 88, 88)",0.0,0.0,0.0,0.0,0.08,0.32,1.0,0.28,0.02,0.0,0.06,0.28,0.0,0.34,0.24,0.0,0.02,0.04
0.0,0.22,,"(840, 396, 364, 364)","(988, 675, 144, 144)",,0.0,0.0,,0.0,0.08,,1.0,0.32,,0.0,0.05,,0.0,0.3,,0.0,0.02,
0.0,0.22,,"(840, 396, 364, 364)","(987, 675, 145, 145)",,0.0,0.0,,0.0,0.08,,1.0,0.27,,0.0,0.06,,0.0,0.34,,0.0,0.02,
0.0,,,"(827, 386, 386, 386)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(827, 385, 386, 386)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(828, 387, 386, 386)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(827, 386, 386, 386)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 384, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 384, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 386, 378, 378)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 385, 379, 379)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 384, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(815, 372, 392, 392)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.13,,"(816, 373, 389, 389)","(1558, 467, 86, 86)",,0.0,0.01,,0.0,0.25,,1.0,0.05,,0.0,0.24,,0.0,0.26,,0.0,0.06,
0.0,,,"(815, 372, 391, 391)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(815, 373, 391, 391)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(817, 374, 384, 384)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(817, 374, 384, 384)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(817, 374, 384, 384)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.14,0.16,"(820, 379, 386, 386)","(1649, 492, 53, 53)","(1556, 467, 88, 88)",0.0,0.01,0.01,0.0,0.17,0.17,1.0,0.03,0.02,0.0,0.06,0.33,0.0,0.57,0.24,0.0,0.02,0.06
0.0,0.14,0.16,"(817, 377, 388, 388)","(1649, 492, 53, 53)","(1556, 467, 88, 88)",0.0,0.01,0.01,0.0,0.17,0.17,1.0,0.03,0.02,0.0,0.06,0.34,0.0,0.57,0.24,0.0,0.02,0.06
0.0,0.16,0.16,"(814, 371, 388, 388)","(1648, 492, 52, 52)","(1556, 467, 89, 89)",0.0,0.01,0.01,0.0,0.15,0.2,1.0,0.06,0.02,0.0,0.07,0.29,0.0,0.52,0.25,0.0,0.03,0.07
0.0,0.14,,"(814, 375, 391, 391)","(1649, 492, 53, 53)",,0.0,0.01,,0.0,0.17,,1.0,0.03,,0.0,0.06,,0.0,0.57,,0.0,0.02,
0.0,,,"(817, 373, 387, 387)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(817, 373, 389, 389)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(818, 373, 386, 386)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(818, 374, 385, 385)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(824, 385, 384, 384)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.42,,"(824, 386, 383, 383)","(1685, 686, 87, 87)",,0.0,0.0,,0.0,0.12,,1.0,0.08,,0.0,0.06,,0.0,0.31,,0.0,0.0,
0.0,0.42,,"(824, 385, 384, 384)","(1685, 686, 88, 88)",,0.0,0.0,,0.0,0.13,,1.0,0.08,,0.0,0.06,,0.0,0.3,,0.0,0.0,
0.0,,,"(824, 385, 384, 384)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(827, 389, 383, 383)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(827, 389, 383, 383)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(827, 389, 383, 383)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(828, 388, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(828, 388, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.18,,"(832, 390, 376, 376)","(1643, 491, 53, 53)",,0.0,0.01,,0.0,0.2,,1.0,0.02,,0.0,0.05,,0.0,0.52,,0.0,0.01,
0.0,,,"(835, 389, 377, 377)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.17,,"(835, 390, 376, 376)","(1644, 492, 51, 51)",,0.0,0.01,,0.0,0.18,,1.0,0.03,,0.0,0.05,,0.0,0.54,,0.0,0.02,
0.0,0.16,,"(835, 390, 376, 376)","(1643, 492, 51, 51)",,0.0,0.02,,0.0,0.19,,1.0,0.03,,0.0,0.05,,0.0,0.55,,0.0,0.01,
0.0,0.15,,"(817, 374, 385, 385)","(1559, 465, 85, 85)",,0.0,0.01,,0.0,0.22,,0.99,0.04,,0.01,0.27,,0.0,0.3,,0.0,0.02,
0.0,0.15,,"(817, 374, 385, 385)","(1559, 465, 85, 85)",,0.0,0.01,,0.0,0.22,,0.99,0.04,,0.01,0.27,,0.0,0.3,,0.0,0.02,
0.0,0.16,,"(816, 375, 387, 387)","(1559, 465, 84, 84)",,0.0,0.0,,0.0,0.27,,1.0,0.03,,0.0,0.26,,0.0,0.26,,0.0,0.02,
0.0,,,"(817, 374, 388, 388)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(817, 374, 388, 388)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(818, 374, 388, 388)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(817, 374, 388, 388)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(839, 390, 376, 376)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 390, 377, 377)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(838, 390, 376, 376)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(838, 390, 376, 376)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,0.17,,"(816, 371, 391, 391)","(991, 680, 141, 141)",,0.0,0.0,,0.0,0.13,,1.0,0.23,,0.0,0.07,,0.0,0.37,,0.0,0.04,
0.0,0.15,,"(817, 371, 391, 391)","(990, 678, 144, 144)",,0.0,0.0,,0.0,0.15,,1.0,0.27,,0.0,0.07,,0.0,0.3,,0.0,0.05,
0.0,0.17,,"(817, 371, 391, 391)","(990, 678, 144, 144)",,0.0,0.0,,0.0,0.15,,1.0,0.28,,0.0,0.07,,0.0,0.28,,0.0,0.05,
0.0,0.15,,"(816, 370, 392, 392)","(990, 678, 143, 143)",,0.0,0.0,,0.0,0.14,,1.0,0.26,,0.0,0.09,,0.0,0.32,,0.0,0.04,
0.0,,,"(819, 373, 387, 387)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(819, 373, 386, 386)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(819, 374, 385, 385)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(818, 373, 387, 387)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(818, 373, 387, 387)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(836, 387, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(836, 387, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(836, 387, 381, 381)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(837, 386, 382, 382)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(813, 373, 400, 400)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(813, 372, 401, 401)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(813, 373, 400, 400)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 392, 376, 376)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(839, 392, 377, 377)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(839, 391, 378, 378)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(839, 391, 378, 378)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 386, 387, 387)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 386, 386, 386)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(816, 372, 398, 398)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(842, 391, 377, 377)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(818, 375, 387, 387)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(820, 376, 384, 384)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(819, 376, 385, 385)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(819, 376, 385, 385)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(819, 376, 385, 385)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(816, 372, 392, 392)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(816, 372, 392, 392)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(816, 372, 392, 392)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(816, 372, 392, 392)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.16,,"(828, 386, 385, 385)","(1558, 464, 87, 87)",,0.0,0.0,,0.0,0.24,,1.0,0.08,,0.0,0.27,,0.0,0.2,,0.0,0.06,
0.0,0.15,,"(828, 386, 385, 385)","(1559, 464, 86, 86)",,0.0,0.0,,0.0,0.24,,1.0,0.08,,0.0,0.27,,0.0,0.2,,0.0,0.06,
0.0,0.15,,"(827, 386, 386, 386)","(1559, 464, 86, 86)",,0.0,0.0,,0.0,0.23,,1.0,0.09,,0.0,0.28,,0.0,0.2,,0.0,0.06,
0.0,0.13,,"(829, 388, 383, 383)","(1557, 463, 90, 90)",,0.0,0.0,,0.0,0.36,,0.99,0.04,,0.01,0.19,,0.0,0.21,,0.0,0.06,
0.0,0.13,,"(829, 389, 382, 382)","(1557, 463, 90, 90)",,0.0,0.0,,0.0,0.37,,0.99,0.05,,0.0,0.19,,0.0,0.21,,0.0,0.06,
0.0,0.13,,"(828, 388, 383, 383)","(1557, 463, 90, 90)",,0.0,0.0,,0.0,0.36,,0.99,0.05,,0.0,0.19,,0.0,0.22,,0.0,0.06,
0.0,0.14,,"(829, 389, 382, 382)","(1557, 463, 90, 90)",,0.0,0.0,,0.0,0.35,,0.99,0.04,,0.0,0.19,,0.0,0.21,,0.0,0.06,
0.0,0.26,0.2,"(825, 382, 388, 388)","(1555, 465, 93, 93)","(513, 711, 93, 93)",0.0,0.01,0.03,0.0,0.18,0.12,1.0,0.06,0.14,0.0,0.24,0.06,0.0,0.21,0.41,0.0,0.04,0.04
0.0,0.21,0.22,"(826, 382, 387, 387)","(1554, 465, 94, 94)","(512, 711, 92, 92)",0.0,0.0,0.03,0.0,0.19,0.14,0.99,0.07,0.13,0.0,0.21,0.07,0.0,0.27,0.38,0.0,0.05,0.03
0.0,0.2,0.21,"(826, 382, 387, 387)","(1554, 465, 94, 94)","(512, 710, 94, 94)",0.0,0.0,0.02,0.0,0.19,0.14,0.99,0.06,0.14,0.0,0.21,0.07,0.0,0.28,0.38,0.0,0.05,0.04
0.0,0.22,0.25,"(826, 382, 387, 387)","(1555, 466, 92, 92)","(512, 711, 92, 92)",0.0,0.0,0.03,0.0,0.17,0.13,0.99,0.06,0.13,0.0,0.26,0.06,0.0,0.24,0.36,0.0,0.05,0.03
0.0,,,"(817, 373, 388, 388)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(817, 373, 388, 388)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(817, 373, 389, 389)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(831, 388, 380, 380)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(837, 382, 389, 389)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(837, 381, 390, 390)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.15,,"(825, 381, 388, 388)","(1558, 466, 83, 83)",,0.0,0.0,,0.0,0.24,,1.0,0.07,,0.0,0.32,,0.0,0.15,,0.0,0.06,
0.0,0.15,,"(825, 381, 388, 388)","(1558, 466, 83, 83)",,0.0,0.0,,0.0,0.25,,1.0,0.07,,0.0,0.32,,0.0,0.15,,0.0,0.05,
0.0,0.15,,"(826, 383, 385, 385)","(1558, 466, 83, 83)",,0.0,0.0,,0.0,0.25,,1.0,0.06,,0.0,0.32,,0.0,0.17,,0.0,0.06,
0.0,0.31,,"(829, 389, 375, 375)","(1890, 927, 71, 71)",,0.0,0.03,,0.0,0.04,,0.99,0.08,,0.01,0.04,,0.0,0.44,,0.0,0.06,
0.0,0.31,,"(815, 375, 389, 389)","(1890, 927, 71, 71)",,0.0,0.03,,0.0,0.04,,0.97,0.08,,0.02,0.04,,0.0,0.43,,0.0,0.07,
0.0,0.31,,"(829, 388, 376, 376)","(1890, 927, 71, 71)",,0.0,0.03,,0.0,0.04,,0.99,0.07,,0.0,0.04,,0.0,0.45,,0.0,0.06,
0.0,0.31,,"(829, 388, 376, 376)","(1890, 927, 71, 71)",,0.0,0.03,,0.0,0.04,,0.99,0.08,,0.01,0.04,,0.0,0.43,,0.0,0.06,
0.12,,,"(832, 383, 372, 372)",,,0.0,,,0.03,,,0.16,,,0.6,,,0.06,,,0.03,,
0.12,,,"(832, 383, 372, 372)",,,0.0,,,0.03,,,0.16,,,0.6,,,0.06,,,0.03,,
0.12,,,"(832, 383, 372, 372)",,,0.0,,,0.03,,,0.16,,,0.6,,,0.06,,,0.03,,
0.12,,,"(832, 383, 372, 372)",,,0.0,,,0.03,,,0.16,,,0.6,,,0.06,,,0.03,,
0.16,0.07,0.16,"(825, 378, 383, 383)","(1556, 464, 92, 92)","(526, 719, 72, 72)",0.0,0.01,0.25,0.01,0.29,0.06,0.0,0.03,0.24,0.76,0.31,0.04,0.06,0.26,0.23,0.01,0.04,0.02
0.24,0.18,0.07,"(823, 377, 383, 383)","(525, 719, 73, 73)","(1556, 465, 91, 91)",0.0,0.26,0.0,0.02,0.07,0.27,0.01,0.19,0.03,0.66,0.04,0.3,0.06,0.24,0.3,0.01,0.02,0.04
0.23,0.07,0.16,"(823, 377, 383, 383)","(1556, 465, 91, 91)","(526, 719, 72, 72)",0.0,0.0,0.24,0.02,0.28,0.07,0.01,0.02,0.22,0.66,0.29,0.05,0.06,0.3,0.24,0.01,0.04,0.02
0.28,0.11,,"(820, 381, 388, 388)","(1556, 465, 89, 89)",,0.0,0.01,,0.07,0.25,,0.09,0.03,,0.33,0.29,,0.1,0.23,,0.12,0.08,
0.39,0.1,0.22,"(820, 380, 387, 387)","(1556, 465, 88, 88)","(521, 712, 80, 80)",0.0,0.01,0.04,0.05,0.24,0.09,0.06,0.03,0.15,0.34,0.32,0.11,0.08,0.21,0.37,0.09,0.08,0.02
0.38,0.11,,"(820, 380, 387, 387)","(1556, 465, 88, 88)",,0.0,0.01,,0.05,0.23,,0.06,0.03,,0.35,0.33,,0.08,0.2,,0.09,0.08,
0.37,0.22,,"(820, 380, 387, 387)","(522, 712, 79, 79)",,0.0,0.04,,0.05,0.09,,0.06,0.18,,0.35,0.12,,0.08,0.34,,0.09,0.01,
0.2,,,"(818, 381, 390, 390)",,,0.01,,,0.11,,,0.08,,,0.24,,,0.11,,,0.25,,
0.23,,,"(819, 382, 389, 389)",,,0.01,,,0.1,,,0.12,,,0.22,,,0.1,,,0.23,,
0.23,,,"(819, 382, 389, 389)",,,0.01,,,0.1,,,0.11,,,0.21,,,0.1,,,0.23,,
0.23,,,"(819, 382, 389, 389)",,,0.01,,,0.1,,,0.12,,,0.22,,,0.1,,,0.23,,
0.25,,,"(815, 363, 402, 402)",,,0.0,,,0.08,,,0.07,,,0.44,,,0.07,,,0.09,,
0.28,,,"(814, 363, 403, 403)",,,0.0,,,0.08,,,0.07,,,0.42,,,0.08,,,0.08,,
0.28,,,"(814, 363, 403, 403)",,,0.0,,,0.08,,,0.07,,,0.41,,,0.07,,,0.09,,
0.28,,,"(815, 364, 401, 401)",,,0.0,,,0.08,,,0.06,,,0.41,,,0.07,,,0.09,,
0.25,,,"(813, 362, 404, 404)",,,0.0,,,0.1,,,0.07,,,0.41,,,0.09,,,0.08,,
0.32,0.15,,"(812, 365, 405, 405)","(1651, 492, 52, 52)",,0.0,0.01,,0.13,0.16,,0.06,0.06,,0.27,0.14,,0.14,0.44,,0.08,0.04,
0.32,0.15,,"(812, 365, 405, 405)","(1651, 492, 52, 52)",,0.0,0.01,,0.13,0.16,,0.06,0.06,,0.27,0.14,,0.14,0.44,,0.08,0.04,
0.3,0.15,,"(812, 365, 404, 404)","(1651, 492, 52, 52)",,0.0,0.01,,0.15,0.17,,0.04,0.06,,0.27,0.14,,0.16,0.44,,0.07,0.04,
0.35,0.15,,"(813, 366, 404, 404)","(1651, 492, 52, 52)",,0.0,0.01,,0.13,0.16,,0.05,0.06,,0.27,0.14,,0.12,0.45,,0.08,0.03,
0.35,,,"(830, 401, 390, 390)",,,0.0,,,0.06,,,0.02,,,0.25,,,0.14,,,0.19,,
0.31,,,"(830, 400, 392, 392)",,,0.0,,,0.06,,,0.03,,,0.26,,,0.14,,,0.2,,
0.35,,,"(830, 401, 390, 390)",,,0.0,,,0.06,,,0.02,,,0.25,,,0.14,,,0.19,,
0.29,,,"(817, 394, 408, 408)",,,0.0,,,0.05,,,0.02,,,0.41,,,0.11,,,0.12,,
0.29,,,"(817, 394, 408, 408)",,,0.0,,,0.05,,,0.02,,,0.4,,,0.11,,,0.12,,
0.29,,,"(817, 394, 408, 408)",,,0.0,,,0.05,,,0.02,,,0.4,,,0.11,,,0.12,,
0.29,,,"(817, 394, 408, 408)",,,0.0,,,0.05,,,0.02,,,0.4,,,0.11,,,0.12,,
0.41,,,"(816, 380, 404, 404)",,,0.0,,,0.05,,,0.0,,,0.31,,,0.19,,,0.04,,
0.42,,,"(816, 380, 403, 403)",,,0.0,,,0.05,,,0.0,,,0.29,,,0.19,,,0.04,,
0.39,,,"(817, 380, 402, 402)",,,0.0,,,0.05,,,0.0,,,0.35,,,0.18,,,0.03,,
0.38,,,"(819, 381, 399, 399)",,,0.0,,,0.05,,,0.01,,,0.36,,,0.17,,,0.03,,
0.37,,,"(814, 379, 407, 407)",,,0.0,,,0.08,,,0.02,,,0.2,,,0.28,,,0.05,,
0.37,,,"(814, 379, 407, 407)",,,0.0,,,0.08,,,0.02,,,0.2,,,0.28,,,0.05,,
0.37,,,"(814, 379, 407, 407)",,,0.0,,,0.08,,,0.02,,,0.21,,,0.29,,,0.05,,
0.34,,,"(813, 379, 407, 407)",,,0.0,,,0.08,,,0.02,,,0.23,,,0.26,,,0.06,,
0.37,,,"(814, 379, 407, 407)",,,0.0,,,0.08,,,0.02,,,0.21,,,0.28,,,0.05,,
0.46,,,"(807, 373, 421, 421)",,,0.0,,,0.05,,,0.03,,,0.26,,,0.15,,,0.06,,
0.44,,,"(807, 374, 419, 419)",,,0.0,,,0.06,,,0.02,,,0.28,,,0.13,,,0.07,,
0.44,,,"(807, 374, 419, 419)",,,0.0,,,0.06,,,0.02,,,0.29,,,0.13,,,0.06,,
0.45,,,"(807, 374, 419, 419)",,,0.0,,,0.06,,,0.02,,,0.27,,,0.13,,,0.07,,
0.34,0.16,,"(811, 380, 416, 416)","(521, 719, 70, 70)",,0.0,0.08,,0.06,0.07,,0.01,0.27,,0.33,0.07,,0.2,0.29,,0.06,0.05,
0.34,0.17,,"(811, 380, 416, 416)","(521, 719, 70, 70)",,0.0,0.08,,0.06,0.07,,0.01,0.27,,0.33,0.07,,0.2,0.29,,0.06,0.05,
0.34,,,"(811, 380, 417, 417)",,,0.0,,,0.06,,,0.0,,,0.35,,,0.18,,,0.06,,
0.35,,,"(811, 380, 416, 416)",,,0.0,,,0.06,,,0.01,,,0.33,,,0.2,,,0.06,,
0.3,,,"(813, 379, 416, 416)",,,0.0,,,0.05,,,0.01,,,0.38,,,0.18,,,0.07,,
0.27,,,"(814, 380, 415, 415)",,,0.0,,,0.05,,,0.01,,,0.45,,,0.17,,,0.05,,
0.31,,,"(813, 379, 416, 416)",,,0.0,,,0.05,,,0.01,,,0.38,,,0.18,,,0.07,,
0.3,,,"(813, 379, 416, 416)",,,0.0,,,0.05,,,0.01,,,0.38,,,0.18,,,0.07,,
0.32,0.2,,"(813, 379, 414, 414)","(526, 718, 69, 69)",,0.0,0.17,,0.06,0.06,,0.03,0.22,,0.27,0.04,,0.24,0.29,,0.08,0.02,
0.29,0.18,,"(812, 379, 414, 414)","(524, 718, 69, 69)",,0.0,0.14,,0.06,0.06,,0.03,0.23,,0.27,0.04,,0.26,0.32,,0.09,0.02,
0.3,0.18,,"(812, 379, 413, 413)","(524, 718, 69, 69)",,0.0,0.15,,0.05,0.06,,0.03,0.22,,0.31,0.04,,0.25,0.32,,0.07,0.02,
0.43,,,"(808, 382, 416, 416)",,,0.0,,,0.06,,,0.02,,,0.23,,,0.2,,,0.05,,
0.35,,,"(806, 381, 419, 419)",,,0.0,,,0.06,,,0.01,,,0.32,,,0.2,,,0.06,,
0.36,,,"(806, 381, 419, 419)",,,0.0,,,0.06,,,0.01,,,0.31,,,0.19,,,0.06,,
0.43,,,"(808, 382, 416, 416)",,,0.0,,,0.06,,,0.02,,,0.23,,,0.2,,,0.06,,
0.25,,,"(808, 389, 414, 414)",,,0.0,,,0.05,,,0.0,,,0.5,,,0.17,,,0.03,,
0.25,,,"(808, 389, 414, 414)",,,0.0,,,0.05,,,0.0,,,0.5,,,0.17,,,0.03,,
0.25,,,"(808, 389, 414, 414)",,,0.0,,,0.05,,,0.0,,,0.5,,,0.17,,,0.03,,
0.27,,,"(807, 388, 415, 415)",,,0.0,,,0.05,,,0.01,,,0.49,,,0.16,,,0.03,,
0.26,,,"(807, 388, 415, 415)",,,0.0,,,0.05,,,0.01,,,0.49,,,0.16,,,0.03,,
0.34,0.1,0.25,"(808, 384, 419, 419)","(1558, 463, 89, 89)","(509, 708, 95, 95)",0.0,0.01,0.02,0.07,0.29,0.12,0.01,0.06,0.12,0.35,0.25,0.06,0.18,0.23,0.42,0.06,0.07,0.02
0.31,0.1,0.23,"(806, 383, 421, 421)","(1558, 462, 90, 90)","(511, 709, 93, 93)",0.0,0.0,0.02,0.06,0.27,0.13,0.01,0.06,0.11,0.38,0.25,0.06,0.19,0.22,0.43,0.06,0.1,0.02
0.35,0.12,,"(806, 382, 421, 421)","(1559, 463, 88, 88)",,0.0,0.01,,0.07,0.24,,0.01,0.06,,0.28,0.27,,0.24,0.23,,0.06,0.07,
0.33,0.14,0.25,"(807, 383, 420, 420)","(1559, 463, 88, 88)","(510, 709, 93, 93)",0.0,0.01,0.02,0.06,0.22,0.13,0.01,0.07,0.14,0.33,0.29,0.07,0.21,0.22,0.37,0.06,0.07,0.02
0.37,,,"(809, 381, 417, 417)",,,0.0,,,0.06,,,0.01,,,0.38,,,0.14,,,0.04,,
0.37,,,"(809, 381, 417, 417)",,,0.0,,,0.06,,,0.01,,,0.38,,,0.14,,,0.04,,
0.35,,,"(808, 380, 419, 419)",,,0.0,,,0.05,,,0.01,,,0.42,,,0.13,,,0.04,,
0.39,,,"(811, 382, 414, 414)",,,0.0,,,0.06,,,0.01,,,0.34,,,0.15,,,0.06,,
0.25,,,"(809, 385, 414, 414)",,,0.0,,,0.03,,,0.0,,,0.49,,,0.21,,,0.02,,
0.27,,,"(811, 385, 413, 413)",,,0.0,,,0.04,,,0.01,,,0.43,,,0.21,,,0.04,,
0.26,,,"(808, 385, 414, 414)",,,0.0,,,0.03,,,0.0,,,0.49,,,0.21,,,0.01,,
